,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,Technology Analyst,1,10,728300.0,340000.0,1510000.0
1,Senior Systems Engineer,0,6,458400.0,250000.0,800000.0
2,System Engineer,0,4,384600.0,260000.0,570000.0
3,Tech Lead,3,15,1209600.0,630000.0,2230000.0
4,Senior Associate Consultant,0,9,1065500.0,450000.0,1700000.0
5,Associate Consultant,0,6,921900.0,310000.0,1550000.0
6,Senior Consultant,4,17,1809800.0,740000.0,2900000.0
7,Test Analyst,1,10,778200.0,180000.0,1460000.0
8,System Engineer Hardware,0,4,388800.0,280000.0,560000.0
9,Test Engineer,0,6,444900.0,240000.0,810000.0
10,Operations Executive,0,2,263000.0,160000.0,450000.0
11,Technical Test Leader,5,16,1231700.0,690000.0,1800000.0
12,Software Developer,0,8,606800.0,200000.0,1920000.0
13,Software Engineer,0,7,602000.0,190000.0,1600000.0
14,Project Manager,8,20,1801500.0,700000.0,2910000.0
15,Lead Consultant,9,20,2601300.0,1230000.0,3900000.0
16,Technical Lead,5,16,1316400.0,700000.0,2330000.0
17,Specialist Programmer,0,7,1048500.0,630000.0,1850000.0
18,Senior Executive Operations,1,3,315300.0,220000.0,440000.0
19,Softwaretest Engineer,0,6,552400.0,220000.0,1400000.0
20,Senior Processing Executive,0,7,309400.0,180000.0,510000.0
21,Senior Software Engineer,1,9,778700.0,300000.0,2300000.0
22,Senior Project Manager,12,23,2271600.0,1330000.0,3320000.0
23,Process Specialist,0,10,432600.0,280000.0,700000.0
24,Technical Analyst,2,9,749700.0,380000.0,1500000.0
25,Principal Consultant,12,25,3222700.0,1500000.0,4850000.0
26,Senior System Associate,1,3,319700.0,220000.0,410000.0
27,Team Lead,4,15,1063900.0,400000.0,2400000.0
28,System Engineer 3,0,3,380400.0,280000.0,500000.0
29,Associate Business Analyst,0,5,580000.0,360000.0,830000.0
30,Devops Engineer,0,7,710300.0,220000.0,1730000.0
31,System Associate,0,2,283200.0,190000.0,400000.0
32,Technology Architect,9,19,2166200.0,1290000.0,3200000.0
33,Software Testing Engineer,2,5,441000.0,300000.0,600000.0
34,Senior System Engineer 1,0,4,442900.0,300000.0,650000.0
35,Processing Executive,0,5,260700.0,110000.0,600000.0
36,Senior Software Developer,2,8,717500.0,300000.0,1370000.0
37,Java Developer,0,6,532000.0,200000.0,1500000.0
38,Business Analyst,0,11,933900.0,300000.0,2500000.0
39,Technical Project Lead,10,16,1650100.0,1000000.0,2600000.0
40,System Engineer Trainee,0,3,354800.0,300000.0,420000.0
41,Test Lead,6,15,1124900.0,550000.0,1800000.0
42,Testing Executive,0,3,276300.0,200000.0,400000.0
43,Technology Support Specialist,2,10,443000.0,300000.0,650000.0
44,IT Analyst,3,10,757300.0,310000.0,1500000.0
45,Automation Test Engineer,0,6,515800.0,230000.0,1000000.0
46,Data Engineer,0,5,545700.0,280000.0,1200000.0
47,Senior Technology Architect,13,22,2739500.0,1620000.0,3900000.0
48,Accountant,1,10,384800.0,220000.0,560000.0
49,Data Analyst,0,6,464700.0,220000.0,1050000.0
50,SAP Fico Consultant,0,9,861800.0,270000.0,1830000.0
51,Account Assistant,1,6,310300.0,200000.0,430000.0
52,Power BI Developer,1,6,611400.0,300000.0,1200000.0
53,Engineering Analyst,3,10,824500.0,470000.0,1200000.0
54,Digital Specialist,0,2,647300.0,600000.0,750000.0
55,Associate Technical Operations,2,4,383600.0,230000.0,540000.0
56,Senior Technology Support Executive,1,6,315400.0,220000.0,490000.0
57,Senior Process Associate,1,7,301000.0,180000.0,450000.0
58,Lead Engineer,6,16,1311600.0,800000.0,2100000.0
59,Senior Associate,1,8,773400.0,250000.0,2070000.0
60,Product Technical Lead,7,16,1401200.0,910000.0,2100000.0
61,Software Test Analyst,3,9,696800.0,400000.0,1200000.0
62,Technical Support Engineer,0,8,419800.0,160000.0,780000.0
63,SAP Abap Consultant,1,7,595000.0,300000.0,1500000.0
64,Program Manager,11,23,2393500.0,1000000.0,4800000.0
65,Full Stack Developer,0,9,561000.0,260000.0,1220000.0
66,Associate Analyst,1,7,440200.0,270000.0,750000.0
67,Performance Test Analyst,3,9,721400.0,420000.0,1100000.0
68,Team Leader (Technical),4,13,1035900.0,510000.0,1700000.0
69,Technical Support Specialist,2,8,401700.0,300000.0,640000.0
70,Senior Analyst,1,8,843700.0,250000.0,1450000.0
71,Quality Analyst,1,7,512000.0,240000.0,910000.0
72,IT Project Manager,11,17,1639100.0,1160000.0,2400000.0
73,Associate Technical Consultant,2,6,852000.0,430000.0,1600000.0
74,Test Engineer 1,0,4,410700.0,300000.0,560000.0
75,Technical Architect,10,17,2181900.0,1200000.0,3200000.0
76,System Analyst,1,8,602300.0,160000.0,1400000.0
77,Senior Testing Executive,0,4,310000.0,200000.0,390000.0
78,Senior Test Analyst,4,11,839600.0,500000.0,1500000.0
79,System Engineer Specialist,0,2,515700.0,500000.0,630000.0
80,Team Lead Operations,4,12,529200.0,380000.0,750000.0
81,Salesforce Developer,1,4,641300.0,220000.0,1720000.0
82,Process Associate,1,4,325100.0,130000.0,760000.0
83,Senior Process Specialist,2,8,389600.0,200000.0,650000.0
84,Scrum Master,3,16,1280300.0,370000.0,2200000.0
85,Analyst,1,7,631900.0,200000.0,1200000.0
86,Senior Technology Lead,9,15,1248200.0,820000.0,1700000.0
87,Big Data Developer,1,5,507600.0,290000.0,1000000.0
88,SAP Basis Consultant,1,8,821200.0,280000.0,1970000.0
89,Senior System Administrator,2,8,591400.0,350000.0,1300000.0
90,SAP Consultant,1,11,1023600.0,310000.0,1960000.0
91,Process Leader,5,13,577400.0,320000.0,1050000.0
92,Devops Consultant,2,9,1001600.0,480000.0,1630000.0
93,Pega Developer,1,6,679100.0,320000.0,2040000.0
94,System Administrator,1,6,524300.0,220000.0,1200000.0
95,Senior Associate Lead,1,8,963500.0,670000.0,1400000.0
96,Mainframe Developer,1,6,522600.0,220000.0,1000000.0
97,QA Test Analyst,3,9,630700.0,380000.0,970000.0
98,Process Specialist SME,3,7,361700.0,220000.0,570000.0
99,Senior Technical Support Executive,1,5,288800.0,200000.0,410000.0
100,Informatica Developer,1,6,615200.0,280000.0,1250000.0
101,Technical Specialist,2,8,457200.0,300000.0,1000000.0
102,Manager Quality Assurance,9,17,1496000.0,920000.0,2040000.0
103,Project Lead,7,16,1317500.0,550000.0,2480000.0
104,Infrastructure Management Consultant,5,10,1511400.0,800000.0,2180000.0
105,Associate Consultant Developer,2,5,1063400.0,520000.0,1410000.0
106,Infrastructure Consultant,5,9,1211400.0,650000.0,1800000.0
107,SE,0,4,1344300.0,330000.0,3310000.0
108,HR Business Partner,1,10,915200.0,460000.0,1380000.0
109,Network Engineer,1,7,562700.0,230000.0,1300000.0
110,Process Expert,1,8,352800.0,170000.0,600000.0
111,Automation Engineer,1,5,515800.0,300000.0,1300000.0
112,Financial Associate,0,4,1007800.0,800000.0,1230000.0
113,Vice President (VP),10,20,5766200.0,2500000.0,10000000.0
114,SQL Database Administrator,1,7,661200.0,220000.0,1150000.0
115,Test Manager,10,16,1531900.0,1000000.0,2200000.0
116,Senior Network Engineer,2,8,682300.0,280000.0,1440000.0
117,Executive Accountant,1,5,277700.0,140000.0,460000.0
118,Senior Technical Process Executive,1,5,328800.0,200000.0,450000.0
119,Functional Consultant,1,10,994100.0,360000.0,2200000.0
120,SOC Analyst,1,4,450400.0,200000.0,750000.0
121,Software Engineer Trainee,0,1,501700.0,280000.0,1500000.0
122,Senior Engineer,2,6,556400.0,330000.0,900000.0
123,SAP PI Consultant,2,6,617000.0,300000.0,1130000.0
124,Senior Data Science Analyst,1,7,962200.0,670000.0,1400000.0
125,Senior Infrastructure Management Consultant,7,14,1464500.0,950000.0,2200000.0
126,SME,2,9,411600.0,210000.0,700000.0
127,Network Security Engineer,2,8,673200.0,260000.0,1500000.0
128,Senior Associate Analyst,0,4,511900.0,380000.0,700000.0
129,DOT NET Developer,0,6,485000.0,250000.0,900000.0
130,Information Security Engineer,0,3,427200.0,300000.0,550000.0
131,Security Analyst,1,5,521900.0,300000.0,800000.0
132,System Software Engineer,0,4,405300.0,330000.0,530000.0
133,SAP SD Consultant,1,8,734800.0,350000.0,1800000.0
134,Front end Developer,0,4,458800.0,220000.0,850000.0
135,SAP BW Hana Consultant,2,9,819000.0,390000.0,1820000.0
136,Group Project Manager,16,24,3010200.0,2100000.0,4040000.0
137,Junior Accountant,0,3,244900.0,110000.0,420000.0
138,SSE,2,5,477500.0,330000.0,800000.0
139,SAP MM Consultant,1,9,864400.0,250000.0,2200000.0
140,Tableau Developer,2,6,627300.0,390000.0,1030000.0
141,Senior Devops Engineer,2,8,855600.0,260000.0,1750000.0
142,Application Support Engineer,1,6,457000.0,220000.0,740000.0
143,SAP Security Consultant,1,7,653500.0,290000.0,1300000.0
144,Team Manager,4,15,2373100.0,1000000.0,3800000.0
145,Information Security Analyst,1,6,664300.0,200000.0,1150000.0
146,QA Analyst,1,8,543300.0,280000.0,1050000.0
147,Middleware Administrator,2,7,693600.0,230000.0,1250000.0
148,Project Manager Scrum Master,12,18,1771600.0,1030000.0,2630000.0
149,IT Technology Lead,6,12,1314900.0,840000.0,1900000.0
150,Technical Process Specialist,2,8,501100.0,310000.0,700000.0
151,Cloud Engineer,1,6,528800.0,300000.0,1000000.0
152,Talent Acquisition Specialist,0,6,468900.0,300000.0,750000.0
153,Associate SAP MM Consultant,2,6,758900.0,450000.0,1130000.0
154,SAP Security & GRC Consultant,2,6,677600.0,320000.0,1350000.0
155,Plsql Developer,2,6,683200.0,300000.0,1300000.0
156,Cyber Security Analyst,1,6,541200.0,300000.0,1020000.0
157,ETL Developer,1,5,588400.0,260000.0,1200000.0
158,Engineering Software,3,4,1104900.0,280000.0,2600000.0
159,Operations Manager,10,17,1095500.0,700000.0,2000000.0
160,Senior Information Security Engineer,2,4,525400.0,420000.0,770000.0
161,Technology Specialist,3,12,662900.0,340000.0,1430000.0
162,HR Executive,0,5,284800.0,160000.0,600000.0
163,Automation Test Lead,6,14,1123000.0,710000.0,1800000.0
164,Database Admin,1,7,617600.0,260000.0,1250000.0
165,Technical Support Executive,0,6,278100.0,150000.0,420000.0
166,Big Data Engineer,1,6,598400.0,360000.0,1100000.0
167,QA Test Engineer,1,5,439900.0,260000.0,710000.0
168,Financial Analyst,0,7,380500.0,140000.0,1100000.0
169,Linux Administrator,1,7,584400.0,200000.0,1000000.0
170,Mulesoft Developer,1,6,726200.0,280000.0,1750000.0
171,Automation Test Analyst,2,9,736200.0,430000.0,1200000.0
172,Senior Technology Analyst,4,10,790400.0,520000.0,1280000.0
173,Senior Lead Analyst,8,15,1760700.0,1100000.0,2500000.0
174,Technical Manager,11,17,1812600.0,1150000.0,2700000.0
175,Technical Project Manager,11,17,1904500.0,1200000.0,2700000.0
176,Oracle Database Administrator,1,8,727400.0,280000.0,1760000.0
177,Servicenow Developer,1,5,518300.0,210000.0,1130000.0
178,Python Developer,1,5,531300.0,320000.0,1200000.0
179,Delivery Manager,18,26,3943700.0,2550000.0,5500000.0
180,Manual Test Engineer,2,5,478500.0,230000.0,900000.0
181,Performance Test Engineer,1,6,760800.0,250000.0,1450000.0
182,Senior Accountant,2,8,373600.0,210000.0,580000.0
183,UI Developer,1,6,683100.0,280000.0,1500000.0
184,QA Engineer,1,5,543500.0,300000.0,1000000.0
185,Software Tester,0,5,439400.0,220000.0,880000.0
186,Senior Finance Associate,2,4,1148400.0,950000.0,1400000.0
187,Power Programmer,0,3,901600.0,600000.0,1100000.0
188,Hadoop Developer,2,5,576400.0,290000.0,850000.0
189,Assistant System Engineer,0,4,382400.0,340000.0,550000.0
190,ETL Tester,2,5,605000.0,280000.0,1100000.0
191,Senior Associate Lead Business Partner HR,1,7,909600.0,630000.0,1140000.0
192,Client Solution Lead,4,12,1293100.0,900000.0,1700000.0
193,Senior Technical Architect,14,21,2678700.0,1720000.0,3700000.0
194,Senior System Engineer 3,1,4,481300.0,360000.0,680000.0
195,Performance Tester,1,5,533200.0,280000.0,1100000.0
196,Project Coordinator,2,8,639000.0,300000.0,1200000.0
197,TA,3,8,681800.0,440000.0,950000.0
198,SAP MM Functional Consultant,1,9,764500.0,280000.0,1600000.0
199,Senior Test Engineer,2,8,813700.0,320000.0,1500000.0
